msg_id,msg,user_id,msg_datetime,chat_id,productID,country_code,wait_time,chat_duration,subject,totalMsgsOp,totalMsgsUser,waitFirstClick,customerID,createdDate,msg_wct,body_wct
322423171,I am glad to hear that I am doing good thanks for asking,723,2023-01-01 03:50:21,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,13,13
322423175,I can certainly check on that for you hi there i think i have cashback available are you able to claim that for me,723,2023-01-01 03:50:23,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,24,24
322423186,Please allow me a moment,723,2023-01-01 03:50:35,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,5,5
322423406,I am still looking into your query Thank you for your patience,723,2023-01-01 03:52:44,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,12,12
322423979,Thank you for holding,723,2023-01-01 03:57:38,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,4,4
322424086,There is a cash back offer of AUD available to you,723,2023-01-01 03:58:39,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,11,11
322424106,This will be redeemed to your account within minutes,723,2023-01-01 03:58:54,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,9,9
322424569,I hope we are still connected,723,2023-01-01 04:03:38,18677971,57,au,115,991,Cashback,22,8,17.0,16989075.0,2023-01-01 03:47:44,6,6
322423196,I am glad to hear that,585,2023-01-01 03:50:43,18677972,41,us,102,1111,Free bonus,21,10,18.0,34644300.0,2023-01-01 03:48:09,6,6
322423368,Are we still connected,585,2023-01-01 03:52:27,18677972,41,us,102,1111,Free bonus,21,10,18.0,34644300.0,2023-01-01 03:48:09,4,4
322423550,Let me have a quick look on your account,585,2023-01-01 03:53:44,18677972,41,us,102,1111,Free bonus,21,10,18.0,34644300.0,2023-01-01 03:48:09,9,9
322424266,May you please be more specific so that I can better assist you,585,2023-01-01 04:00:37,18677972,41,us,102,1111,Free bonus,21,10,18.0,34644300.0,2023-01-01 03:48:09,13,13
322424868,You are all good to go The bonus has been redeemed to your account Best of luck and do not forget to have fun,585,2023-01-01 04:06:40,18677972,41,us,102,1111,Free bonus,21,10,18.0,34644300.0,2023-01-01 03:48:09,24,24
322423190,How are you today Aaron,723,2023-01-01 03:50:40,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,5,5
322423279,Let me check on that for you,723,2023-01-01 03:51:39,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,7,7
322423905,I am here,723,2023-01-01 03:56:55,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,3,3
322424119,There are free spins on Asgard,723,2023-01-01 03:59:02,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,6,6
322424271,Would you like this offer redeemed,723,2023-01-01 04:00:44,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,6,6
322424374,You re all set Aaron it has been added to your account with a dash of good luck,723,2023-01-01 04:01:39,18677973,54,au,68,786,Free bonus,19,24,7.0,15530119.0,2023-01-01 03:48:43,18,18
322423070,I will be happy to check on this for you,718,2023-01-01 03:49:31,18677974,17,us,5,305,Documents,11,4,4.0,34780949.0,2023-01-01 03:48:45,10,10
322423238,Thank you for that,718,2023-01-01 03:51:11,18677974,17,us,5,305,Documents,11,4,4.0,34780949.0,2023-01-01 03:48:45,4,4
322423294,When did you send the documents,718,2023-01-01 03:51:48,18677974,17,us,5,305,Documents,11,4,4.0,34780949.0,2023-01-01 03:48:45,6,6
322423072,Welcome and Happy New Year,694,2023-01-01 03:49:33,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,5,5
322423107,Thanks my friend,694,2023-01-01 03:49:49,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,3,3
322423165,Hi I would like to claim a deposit bonus please Absolutely I will help you with a nice bonus,694,2023-01-01 03:50:17,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,19,19
322423247,Nice,694,2023-01-01 03:51:17,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,1,1
322423284,It is really important to take time to rest,694,2023-01-01 03:51:40,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,9,9
322423465,But all good so far,694,2023-01-01 03:53:01,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,5,5
322423547,Yes,694,2023-01-01 03:53:43,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,1,1
322423747,You are all set my friend I wish you the best of luck,694,2023-01-01 03:55:16,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,13,13
322423753,Have fun,694,2023-01-01 03:55:18,18677977,30,us,2,419,Deposit bonus,22,8,9.0,2051623.0,2023-01-01 03:49:06,2,2
322423193,I would love to check on that for you,333,2023-01-01 03:50:42,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,9,9
322423215,Can you please provide me with your full name and email address,333,2023-01-01 03:50:53,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,12,12
322423278,Thank you,333,2023-01-01 03:51:38,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,2,2
322423283,How are you,333,2023-01-01 03:51:40,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,3,3
322423477,Happy to hear that,333,2023-01-01 03:53:08,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,4,4
322423717,The other account will remain closed,333,2023-01-01 03:55:05,18677979,45,us,3,331,Account information,14,6,59.0,34786356.0,2023-01-01 03:49:36,6,6
322423150,Hello,178,2023-01-01 03:50:10,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,1,1
322423167,I would be happy to assist you with that,178,2023-01-01 03:50:19,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,9,9
322423173,To get started could you please provide me with your full name and email address to confirm your account details,178,2023-01-01 03:50:22,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,20,20
322423176,How are you doing today,178,2023-01-01 03:50:25,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,5,5
322423206,Glad to hear that I am good too,178,2023-01-01 03:50:49,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,8,8
322423240,Let me check just one thing,178,2023-01-01 03:51:14,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,6,6
322423248,Then I will tell you how to redeem,178,2023-01-01 03:51:21,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,8,8
322423402,If so please let me know once this is done so that I can advise you on the next step,178,2023-01-01 03:52:44,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,20,20
322423490,I will be here,178,2023-01-01 03:53:12,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,4,4
322423549,Great,178,2023-01-01 03:53:44,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,1,1
322423554,Let me tell you about the next step,178,2023-01-01 03:53:51,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,8,8
322423638,You are very welcome,178,2023-01-01 03:54:34,18677980,22,au,1,319,Free bonus,32,18,5.0,,2023-01-01 03:49:37,4,4
322423233,What can I do to help you today,585,2023-01-01 03:51:08,18677981,35,za,9,667,Account information,14,9,2.0,7469744.0,2023-01-01 03:49:45,8,8
322423816,I am seeing that your current balance is,585,2023-01-01 03:56:07,18677981,35,za,9,667,Account information,14,9,2.0,7469744.0,2023-01-01 03:49:45,8,8
322423204,Thanks for contacting support you are on with Patricia,338,2023-01-01 03:50:48,18677983,35,za,3,41,No contact,6,1,37.0,34785975.0,2023-01-01 03:50:45,9,9
322423286,Thank you for taking the time to contact us I will do my best to assist in your query How are you doing,92,2023-01-01 03:51:41,18677984,43,de,7,505,Free bonus,20,8,19.0,34786844.0,2023-01-01 03:50:56,23,23
322423362,I will be happy to review Please provide your registered email address,92,2023-01-01 03:52:21,18677984,43,de,7,505,Free bonus,20,8,19.0,34786844.0,2023-01-01 03:50:56,12,12
322423669,Did you receive a bonus code,92,2023-01-01 03:54:49,18677984,43,de,7,505,Free bonus,20,8,19.0,34786844.0,2023-01-01 03:50:56,6,6
322423383,I can certainly check on that for you,429,2023-01-01 03:52:37,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,8,8
322423384,How are you today Matthew,429,2023-01-01 03:52:37,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,5,5
322423620,Please allow me moment,429,2023-01-01 03:54:29,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,4,4
322423876,I am still looking into your query for you Thank you for your patience,429,2023-01-01 03:56:39,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,14,14
322424008,Thanks for holding,429,2023-01-01 03:57:56,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,3,3
322424103,How about a lucky deposit match bonus for your deposit,429,2023-01-01 03:58:53,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,10,10
322424112,That offer has no max cashout,429,2023-01-01 03:58:59,18677987,41,au,4,594,Promotion Inquiry/Issue,16,3,41.0,34753034.0,2023-01-01 03:51:50,6,6
322423519,Im always doing great Thanks for asking How about you,333,2023-01-01 03:53:28,18677990,43,us,3,145,Cashback,15,5,66.0,5351827.0,2023-01-01 03:52:08,10,10
322423589,The cashback is in Best of luck,333,2023-01-01 03:54:15,18677990,43,us,3,145,Cashback,15,5,66.0,5351827.0,2023-01-01 03:52:08,7,7
322423663,You are welcome,429,2023-01-01 03:54:45,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,3,3
322423665,Be sure to take a look at the hottest games out They could bring you great luck,429,2023-01-01 03:54:47,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,17,17
322423929,I added a lucky to your account for you to enjoy,429,2023-01-01 03:57:07,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,11,11
322423931,That offer has max cashout,429,2023-01-01 03:57:12,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,5,5
322423934,Terms apply,429,2023-01-01 03:57:14,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,2,2
322423956,May I assist you with anything else,429,2023-01-01 03:57:25,18677991,21,us,5,437,Free bonus,19,5,21.0,30477523.0,2023-01-01 03:52:13,7,7
322423502,Hello Patricia Welcome back,413,2023-01-01 03:53:19,18677992,30,us,6,420,Deposit bonus,12,4,39.0,3712020.0,2023-01-01 03:52:24,4,4
322423725,Glad to hear that Will help you with your bonus right away,413,2023-01-01 03:55:09,18677992,30,us,6,420,Deposit bonus,12,4,39.0,3712020.0,2023-01-01 03:52:24,12,12
322423843,You are welcome Your deposit bonus has been successfully credited,413,2023-01-01 03:56:25,18677992,30,us,6,420,Deposit bonus,12,4,39.0,3712020.0,2023-01-01 03:52:24,10,10
322423844,Good Luck I hope you win big,413,2023-01-01 03:56:26,18677992,30,us,6,420,Deposit bonus,12,4,39.0,3712020.0,2023-01-01 03:52:24,7,7
322423933,Is there anything else I can assist you with,413,2023-01-01 03:57:14,18677992,30,us,6,420,Deposit bonus,12,4,39.0,3712020.0,2023-01-01 03:52:24,9,9
322423392,Hi,673,2023-01-01 03:52:43,18677993,35,za,3,160,No contact,9,1,4.0,33841980.0,2023-01-01 03:52:25,1,1
322423628,Are you still here with me Hope I have not lost you,673,2023-01-01 03:54:30,18677993,35,za,3,160,No contact,9,1,4.0,33841980.0,2023-01-01 03:52:25,12,12
322423570,Let me have a quick look into it,577,2023-01-01 03:54:04,18677998,49,za,8,369,Cashback,20,6,6.0,10213141.0,2023-01-01 03:52:52,8,8
322423578,Please allow me a moment while I have a quick look into your account,577,2023-01-01 03:54:11,18677998,49,za,8,369,Cashback,20,6,6.0,10213141.0,2023-01-01 03:52:52,14,14
